NAME,MSINI,A,PER,ECC,OM,T0,K,ORBREF,ORBURL,FIRSTREF,FIRSTURL,MASS,MSTAR,I
,mjupiter,au,day,,deg,jd,m/s,,,,,mjupiter,msun,deg
Kepler-797 b,,0.174066,27.07237711,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.0162741,0.96,
HD 47366 b,1.74615,1.21472,363.3,0.089,100,2450122,33.6,Sato 2016,http://adsabs.harvard.edu/abs/2016ApJ...819...59S,Sato 2016,http://adsabs.harvard.edu/abs/2016ApJ...819...59S,1.74615,1.81,
Kepler-160 b,,0.0518266,4.309427,,90,2454967.03257,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.0115417,,
Kepler-1066 b,,0.03015,1.93155984,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.0181548,0.98,
Kepler-1318 b,,0.629,213.257663,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.028747,0.73,
CoRoT-11 b,2.33146,0.0440549,2.99433,0,90,2454597.679,280,Gandolfi 2010,http://adsabs.harvard.edu/abs/2010A&A...524A..55G,Gandolfi 2010,http://adsabs.harvard.edu/abs/2010A&A...524A..55G,2.34813,1.27,83.17
Kepler-369 c,,0.118353,14.871572,,90,2454970.69114,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.00960182,,
Kepler-142 d,,0.235751,41.809118,,90,2454981.69926,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.0161415,,
Kepler-1415 b,,0.0139284,0.63642408,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.00709482,0.89,
Kepler-398 b,,0.0499821,4.081423,,90,2454966.85795,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.00225059,,
Kepler-443 b,,0.558942,177.6693,0,90,2455630.246,,Torres 2015,http://adsabs.harvard.edu/abs/2015ApJ...800...99T,Borucki 2010,http://adsabs.harvard.edu/abs/2010Sci...327..977B,0.0177875,0.738,89.94
HD 175607 b,0.0262555,0.164916,29.03,0.16,98.9,2455528.01,2.21,Mortier 2016,http://adsabs.harvard.edu/abs/2016A%26A...585A.135M,Mortier 2016,http://adsabs.harvard.edu/abs/2016A%26A...585A.135M,0.0262555,0.71,
Kepler-746 b,,0.0435651,3.48159251,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.00422224,0.91,
Kepler-1348 b,,0.180967,27.5722742,0,90,,,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,Morton 2016,http://adsabs.harvard.edu/abs/2016ApJ...822...86M,0.0142915,1.04,
Kepler-299 d,,0.119323,15.054786,,90,2454977.58557,,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,Rowe 2014,http://adsabs.harvard.edu/abs/2014arXiv1402.6534R,0.0136944,,
