JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2458577.67865,14.045,0.014,,V,DFS,,000-BMS-488,000-BMS-489,X23870CO,STANDARD MAG: C = 13.374  K = 13.655,0,1.37,Z,18.815,19.048,2458577.67710,V353 VUL,VVS,STD,,,,
2458577.67939,14.064,0.014,,V,DFS,,000-BMS-488,000-BMS-489,X23870CO,STANDARD MAG: C = 13.374  K = 13.655,0,1.37,Z,18.760,18.982,2458577.67784,V353 VUL,VVS,STD,,,,
2458586.63043,14.133,0.069,,V,DFS,,000-BMS-488,000-BMS-489,X23870CO,STANDARD MAG: C = 13.374  K = 13.655,0,1.56,Z,19.395,19.598,2458586.62950,V353 VUL,VVS,STD,,,,
2458586.63118,14.209,0.054,,V,DFS,,000-BMS-488,000-BMS-489,X23870CO,STANDARD MAG: C = 13.374  K = 13.655,0,1.55,Z,19.331,19.586,2458586.63025,V353 VUL,VVS,STD,,,,
2458586.63192,14.167,0.059,,V,DFS,,000-BMS-488,000-BMS-489,X23870CO,STANDARD MAG: C = 13.374  K = 13.655,0,1.54,Z,19.453,19.720,2458586.63099,V353 VUL,VVS,STD,,,,
2458600.77662,14.418,0.013,,V,DKS,,000-BMS-489,000-BMS-490,X23379EXQ,ERROR: V+C POISSON;,0,1.902,Z,13.655,14.276,,V0353 VUL,AAVSO,STD,,,,
2458603.65124,14.344,0.041,,V,DFS,,000-BMS-488,000-BMS-489,X23870CO,STANDARD MAG: C = 13.374  K = 13.655,0,1.17,Z,19.045,19.260,2458603.65154,V353 VUL,VVS,STD,,,,
2458603.65198,14.327,0.040,,V,DFS,,000-BMS-488,000-BMS-489,X23870CO,STANDARD MAG: C = 13.374  K = 13.655,0,1.17,Z,19.035,19.251,2458603.65228,V353 VUL,VVS,STD,,,,
2458603.65274,14.333,0.041,,V,DFS,,000-BMS-488,000-BMS-489,X23870CO,STANDARD MAG: C = 13.374  K = 13.655,0,1.17,Z,18.996,19.223,2458603.65304,V353 VUL,VVS,STD,,,,
2458605.93907,14.201,0.113,,V,KNAA,,000-BMS-488,000-BMS-489,X23173ED,|VMAGINS=-6.958|VERR=0.012|CREFMAG=13.374|CREFERR=0.010|KREFMAG=13.655|KREFERR=0.023|VX=0.0000|CX=0.0000|KX=0.0000|TV_VR=-0.1620|TV_VRERR=0.0530|TAVER=2.49,1,1.218,Z,-8.120,-7.895,,V0353 VUL,AAVSO,STD,3106,,,
2458605.94025,11.709,0.097,,R,KNAA,,000-BMS-488,000-BMS-489,X23173ED,|VMAGINS=-9.401|VERR=0.023|CREFMAG=12.951|CREFERR=0.139|KREFMAG=13.057|KREFERR=0.141|VX=0.0000|CX=0.0000|KX=0.0000|TR_VR=-0.2370|TR_VRERR=0.0420|TAVER=2.49,1,1.210,Z,-8.649,-8.543,,V0353 VUL,AAVSO,STD,3106,,,
2458632.60774,14.823,0.038,,V,DFS,,000-BMS-488,000-BMS-489,X23870CO,STANDARD MAG: C = 13.374  K = 13.655,0,1.08,Z,18.391,18.628,2458632.61001,V353 VUL,VVS,STD,,,,
2458636.62032,14.769,0.044,,V,DFS,,000-BMS-488,000-BMS-489,X23870CO,STANDARD MAG: C = 13.374  K = 13.655,0,1.05,Z,18.541,18.709,2458636.62283,V353 VUL,VVS,STD,,,,
2458636.62107,14.754,0.045,,V,DFS,,000-BMS-488,000-BMS-489,X23870CO,STANDARD MAG: C = 13.374  K = 13.655,0,1.05,Z,18.536,18.730,2458636.62358,V353 VUL,VVS,STD,,,,
2458636.62181,14.718,0.042,,V,DFS,,000-BMS-488,000-BMS-489,X23870CO,STANDARD MAG: C = 13.374  K = 13.655,0,1.05,Z,18.534,18.726,2458636.62432,V353 VUL,VVS,STD,,,,
2458640.61422,14.849,0.020,,V,DFS,,000-BMS-488,000-BMS-489,X23870CO,STANDARD MAG: C = 13.374  K = 13.655,0,1.05,Z,18.606,18.790,2458640.61696,V353 VUL,VVS,STD,,,,
2458640.61496,14.881,0.020,,V,DFS,,000-BMS-488,000-BMS-489,X23870CO,STANDARD MAG: C = 13.374  K = 13.655,0,1.05,Z,18.598,18.798,2458640.61770,V353 VUL,VVS,STD,,,,
2458640.61571,14.861,0.019,,V,DFS,,000-BMS-488,000-BMS-489,X23870CO,STANDARD MAG: C = 13.374  K = 13.655,0,1.05,Z,18.601,18.796,2458640.61845,V353 VUL,VVS,STD,,,,
2458654.74612,14.892,0.126,,V,KNAA,,000-BMS-488,000-BMS-489,X23173ED,|VMAGINS=-6.226|VERR=0.021|CREFMAG=13.374|CREFERR=0.010|KREFMAG=13.655|KREFERR=0.023|VX=0.0000|CX=0.0000|KX=0.0000|TV_VR=-0.1620|TV_VRERR=0.0530|TAVER=2.49,1,1.637,Z,-8.115,-7.876,,V0353 VUL,AAVSO,STD,106,,,
2458654.74889,12.182,0.104,,R,KNAA,,000-BMS-488,000-BMS-489,X23173ED,|VMAGINS=-8.754|VERR=0.010|CREFMAG=12.951|CREFERR=0.139|KREFMAG=13.057|KREFERR=0.141|VX=0.0000|CX=0.0000|KX=0.0000|TR_VR=-0.2370|TR_VRERR=0.0420|TAVER=2.49,1,1.604,Z,-8.527,-8.419,,V0353 VUL,AAVSO,STD,106,,,
2458655.73383,15.244,0.021,,V,DKS,,000-BMS-489,000-BMS-490,X23379EXQ,ERROR: V+C POISSON;,0,1.099,Z,13.655,14.247,,V0353 VUL,AAVSO,STD,,,,
2458660.52833,15.268,0.026,,V,DFS,,000-BMS-488,000-BMS-489,X23870CO,STANDARD MAG: C = 13.374  K = 13.655,0,1.09,Z,18.517,18.696,2458660.53201,V353 VUL,VVS,STD,,,,
2458660.52908,15.319,0.027,,V,DFS,,000-BMS-488,000-BMS-489,X23870CO,STANDARD MAG: C = 13.374  K = 13.655,0,1.09,Z,18.523,18.695,2458660.53276,V353 VUL,VVS,STD,,,,
2458660.52984,15.255,0.025,,V,DFS,,000-BMS-488,000-BMS-489,X23870CO,STANDARD MAG: C = 13.374  K = 13.655,0,1.08,Z,18.529,18.707,2458660.53352,V353 VUL,VVS,STD,,,,
2458666.72369,15.126,0.130,,V,KNAA,,000-BMS-488,000-BMS-489,X23173ED,|VMAGINS=-6.042|VERR=0.024|CREFMAG=13.374|CREFERR=0.010|KREFMAG=13.655|KREFERR=0.023|VX=0.0000|CX=0.0000|KX=0.0000|TV_VR=-0.1620|TV_VRERR=0.0530|TAVER=2.49,1,1.533,Z,-8.176,-7.950,,V0353 VUL,AAVSO,STD,106,,,
2458666.72645,12.348,0.107,,R,KNAA,,000-BMS-488,000-BMS-489,X23173ED,|VMAGINS=-8.635|VERR=0.008|CREFMAG=12.951|CREFERR=0.139|KREFMAG=13.057|KREFERR=0.141|VX=0.0000|CX=0.0000|KX=0.0000|TR_VR=-0.2370|TR_VRERR=0.0420|TAVER=2.49,1,1.505,Z,-8.590,-8.498,,V0353 VUL,AAVSO,STD,106,,,
2458671.60792,15.471,0.031,,V,DFS,,000-BMS-488,000-BMS-489,X23870CO,STANDARD MAG: C = 13.374  K = 13.655,0,1.08,Z,18.633,18.857,2458671.61195,V353 VUL,VVS,STD,,,,
2458678.62864,15.665,0.040,,V,DFS,,000-BMS-488,000-BMS-489,X23870CO,STANDARD MAG: C = 13.374  K = 13.655,0,1.19,Z,18.693,18.931,2458678.63282,V353 VUL,VVS,STD,,,,
