JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2419033.6,10.3,,,Vis.,C,,NA,,NA,1912ANHAR-63-106.  SUBMITTED BY PKV.,,,Z,,,,SX CYG,AAVSO,STD,,1912AnHar..63....1C,PKV,
2419179.6,<12.0,,,Vis.,YAS,,,,,,,,V,,,,SX CYG,,STD,,,,
2419203.6,<12.0,,,Vis.,YAS,,,,,,,,V,,,,SX CYG,,STD,,,,
2419319.6,<12.6,,,Vis.,YAS,,,,,,,,V,,,,SX CYG,,STD,,,,
2419335.6,13.0,,,Vis.,YAS,,,,,,,,V,,,,SX CYG,,STD,,,,
2419344.5,<12.6,,,Vis.,BXW,,,,,,,,V,,,,SX CYG,,STD,,,,
2419348.6,<12.0,,,Vis.,YAS,,,,,,,,V,,,,SX CYG,,STD,,,,
2419357.5,12.9,,,Vis.,BXW,,,,,,,,V,,,,SX CYG,,STD,,,,
2419359.5,12.6,,,Vis.,YAS,,,,,,,,V,,,,SX CYG,,STD,,,,
2419368.5,11.0,,,Vis.,YAS,,,,,,,,V,,,,SX CYG,,STD,,,,
2419373.6,10.4,,,Vis.,YAS,,,,,,,,V,,,,SX CYG,,STD,,,,
2419378.5,10.1,,,Vis.,BXW,,,,,,,,V,,,,SX CYG,,STD,,,,
2419378.5,9.8,,,Vis.,YAS,,,,,,,,V,,,,SX CYG,,STD,,,,
2419379.5,10.1,,,Vis.,BXW,H,,,,,,,V,,,,SX CYG,,STD,,,,
2419384.5,9.7,,,Vis.,YAS,,,,,,,,V,,,,SX CYG,,STD,,,,
2419384.6,10.0,,,Vis.,BXW,,,,,,,,V,,,,SX CYG,,STD,,,,
2419391.4,9.9,,,Vis.,BXW,,,,,,,,V,,,,SX CYG,,STD,,,,
2419405.5,9.6,,,Vis.,BXW,,,,,,,,V,,,,SX CYG,,STD,,,,
2419406.4,9.5,,,Vis.,YAS,,,,,,,,V,,,,SX CYG,,STD,,,,
2419408.4,9.8,,,Vis.,BXW,U,,,,,,,V,,,,SX CYG,,STD,,,,
2419411.5,10.0,,,Vis.,BXW,,,,,,,,V,,,,SX CYG,,STD,,,,
2419412.5,9.7,,,Vis.,YAS,,,,,,,,V,,,,SX CYG,,STD,,,,
2419413.5,9.9,,,Vis.,BXW,,,,,,,,V,,,,SX CYG,,STD,,,,
2419422.5,10.0,,,Vis.,YAS,,,,,,,,V,,,,SX CYG,,STD,,,,
2419476.4,11.0,,,Vis.,YAS,,,,,,,,V,,,,SX CYG,,STD,,,,
2419526.7,<12.4,,,Vis.,YAS,,,,,,,,V,,,,SX CYG,,STD,,,,
2419533.7,13.3,,,Vis.,YAS,,,,,,,,V,,,,SX CYG,,STD,,,,
2419557.7,<12.9,,,Vis.,YAS,,,,,,,,V,,,,SX CYG,,STD,,,,
