kepid,koi_period,koi_prad,koi_steff
11389771,2.508553286,1.28,5814.0
4243911,1.922799706,1.28,5194.0
10332883,1.151166776,1.28,3951.0
9364609,14.97436238,1.28,5311.0
12416661,8.05337912,1.28,6231.0
11547513,10.10575764,1.28,5923.0
6451936,4.26374378,1.28,6032.0
7455287,12.07134205,1.29,3713.0
10858691,3.468073,1.29,5576.0
11014932,2.92721119,1.29,5616.0
10925104,8.041347775,1.29,3980.0
4275721,3.77359871,1.29,6224.0
8689793,3.554856338,1.29,6068.0
10328458,2.352273912,1.29,4816.0
12254909,5.349791,1.29,6074.0
8077137,22.8030252,1.29,6063.0
9468551,1.638652525,1.29,6119.0
8120608,13.3430025,1.29,3751.0
9590976,3.88688862,1.29,6167.0
6442340,23.4433748,1.29,5762.0
5644412,1.538185321,1.29,5107.0
9761615,1.79110997,1.29,6040.0
3657758,2.3702932,1.29,5668.0
5895158,1.093665854,1.29,5845.0
11442793,7.00821787,1.29,5970.0
10601284,8.10904807,1.3,5185.0
7455287,20.99587872,1.3,3713.0
8766650,12.43929428,1.3,4987.0
8611832,22.5968256,1.3,5610.0
6521045,6.88707073,1.3,5788.0
4852528,3.072146607,1.3,4041.0
7509886,6.0404622,1.3,5297.0
7509886,4.13852825,1.3,5297.0
9872831,5.49548533,1.3,6157.0
4138008,112.303136,1.3,4401.0
8395660,23.9800854,1.31,5854.0
10858691,5.9142668,1.31,5576.0
6962977,2.58083264,1.31,5296.0
5177104,3.02168007,1.31,6201.0
6268648,15.86624787,1.31,6099.0
9471268,6.76690759,1.31,5103.0
9411412,2.892216772,1.31,4229.0
8415200,4.52158614,1.31,5576.0
10585738,0.636424848,1.31,5343.0
3852655,11.62904159,1.31,5721.0
10026502,101.952048,1.31,6210.0
11671579,5.17624997,1.31,5578.0
8554701,31.1748311,1.31,6086.0
6026438,16.9348104,1.31,4650.0
5339567,4.86638504,1.32,5688.0
2142522,13.32354078,1.32,6113.0
8757824,3.65690909,1.32,6078.0
8095441,11.87457664,1.32,5523.0
3642289,11.44865823,1.32,6204.0
6442340,7.78199862,1.32,5762.0
11709124,9.91937693,1.32,5688.0
8552719,9.10969334,1.32,5611.0
11244682,3.490785878,1.32,5496.0
9458343,11.89520436,1.33,5649.0
8494617,22.9221181,1.33,5897.0
6345732,7.44136102,1.33,5937.0
6716545,13.9093544,1.33,6052.0
3942670,12.6119685,1.33,6007.0
4852528,4.645382149,1.33,4041.0
8557374,2.462344253,1.33,5736.0
9002278,5.71489692,1.33,4926.0
8230616,6.82778157,1.34,4198.0
5706966,12.55111099,1.34,4213.0
5175024,23.4772553,1.34,6384.0
8885643,3.40165617,1.34,6177.0
8292840,10.49566303,1.34,6214.0
10187017,10.31174786,1.34,4900.0
4827723,7.23858162,1.34,5411.0
11611275,6.94245216,1.34,6108.0
9904006,8.48651582,1.34,6178.0
6209677,7.76845639,1.35,5447.0
8680979,8.25980352,1.35,4891.0
5706595,4.57948235,1.35,5569.0
6933567,9.08233411,1.35,5354.0
7605093,0.634003002,1.35,5226.0
6929841,3.51575492,1.35,5094.0
