source_id,ra,ra_error,dec,dec_error,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,bp_rp,radial_velocity,radial_velocity_error,phot_variable_flag,teff_val,a_g_val,radius_val,lum_val
65678334950951040,57.83401112423379,0.03679940001250456,23.344810196241824,0.015243484814802224,1.9650857640970658,0.03969071191875464,-7.660068193797361,-7.8408492789892925,14.467206,14.967064,13.816946,1.1501179,,,NOT_AVAILABLE,4955.0,,0.8042139,0.3512469
65624390161999232,58.59384095621483,0.05685602795309932,23.138429731935464,0.023964691210502473,0.8676631487737829,0.056794616449674436,1.748879083226573,0.16803457753769444,11.180211,11.947735,10.3682995,1.5794353,65.52090174129691,0.27896155104361864,NOT_AVAILABLE,4255.645,0.9607,12.730664,47.8915
65624458881475840,58.581638064770125,0.03730412026157207,23.149119597535172,0.015878697751741024,0.8846145613354447,0.03824772548995247,4.635399461087456,4.7753033131489095,14.107695,14.514658,13.514077,1.0005808,,,NOT_AVAILABLE,5159.8696,,1.9046503,2.316755
65607656969328640,58.0635988929761,0.05219884922908071,23.03218501271367,0.0223110805872409,1.3886093574824403,0.05641771912369616,8.567318464098062,0.8759723996350391,15.77855,16.40751,15.012859,1.3946514,,,NOT_AVAILABLE,4432.75,0.5883,0.845767,0.24882221
65682664278107520,58.10991946116371,0.0479159849186761,23.417099944777682,0.01816307696426652,0.5503736371433561,0.0510111929097639,3.8098283017469865,2.11214883701344,15.137414,15.519372,14.586217,0.93315506,,,NOT_AVAILABLE,5313.25,1.2353,1.7757373,2.2640872
65677269799072896,57.7141593643427,0.032579761948177674,23.308323416834092,0.013296490779062501,0.74680137639516,0.037227583073777465,4.263185973806797,-4.607420306430443,13.527255,14.129907,12.799526,1.3303804,,,NOT_AVAILABLE,5047.25,,3.1131327,5.666426
65673284069421312,57.83901491517068,0.0640540559316396,23.248810032174735,0.03272687026246704,0.7413438616763639,0.06609163381114883,5.273107937182332,3.42675050742539,16.416452,16.927359,15.749236,1.1781225,,,NOT_AVAILABLE,4925.43,0.463,0.8822341,0.41270435
65672218917531776,57.8964108427743,0.0622743082676132,23.217831968335258,0.03073531952665884,0.6591824823108328,0.06516056886392387,4.726126811413056,-1.4664924304725926,16.202566,16.635601,15.579819,1.0557823,,,NOT_AVAILABLE,5152.0,0.4195,0.97771376,0.60676646
65666618280293888,58.22247376262076,0.042298665794172685,23.33431878700183,0.017915544069967006,0.8066765986894769,0.04546375260703759,4.211307381215702,-4.176476808205142,15.102001,15.549148,14.496647,1.0525007,,,NOT_AVAILABLE,5202.8477,,1.294917,1.1069882
65669813735961344,58.165839954669345,0.03924248141918492,23.37040767629263,0.014809687527564215,2.121905821375589,0.04151022964217737,-3.590353419518255,-6.560515825051203,14.320797,14.874261,13.623825,1.2504358,,,NOT_AVAILABLE,4899.69,0.436,0.8201906,0.34930012
65617861811561344,58.31973965729662,0.03022715153629424,23.223292686903406,0.012495828384408221,1.7162060538353348,0.03309016752594339,-2.587011272119177,-16.56205092679975,13.937484,14.384635,13.3267145,1.0579205,,,NOT_AVAILABLE,5083.24,0.53,1.1017258,0.7301369
65678128792520960,57.75683650768447,0.06000680396456844,23.384163073655685,0.029629352047866292,1.3817343444220112,0.06398426525294912,7.7115177510569906,-4.225026211769357,15.911988,16.730572,15.021431,1.7091408,,,NOT_AVAILABLE,4118.0,,1.0040001,0.26116052
65679331383364480,57.78091292635246,0.03228329590079085,23.367485093065174,0.014228398271640281,0.515991134758694,0.03425982678890636,4.82299129132838,-5.7356417998575715,14.558671,14.942545,13.995203,0.9473419,,,NOT_AVAILABLE,5303.0,,2.4838655,4.395795
65665656207618560,58.30619456008035,0.090821966202795,23.29613206902452,0.04080914077864818,1.3500336432972273,0.10004079916093192,4.192391203096419,-4.5411189651116395,16.658335,17.61236,15.668831,1.9435291,,,NOT_AVAILABLE,4077.49,1.8633,0.75252825,0.14103013
65677544676978688,57.70122411486234,0.03933551718967903,23.32469615906893,0.016226811830235652,0.448744182277366,0.04246970670248287,1.553633660284763,-1.054397439696651,14.917659,15.248927,14.410786,0.83814144,,,NOT_AVAILABLE,5740.55,,2.0213892,3.9976854
65624733759383040,58.55727318240399,0.12041746208175984,23.15794196582438,0.05126820613613465,5.620170737055511,0.12645417946626605,-25.796865253266787,-66.74643567765554,17.157166,18.533352,15.950608,2.5827436,,,NOT_AVAILABLE,,,,
65707673870040832,58.21587004683854,0.22864058547680124,23.563207958372697,0.09410748189677977,8.019335868246785,0.25647000725740726,19.417768872396696,-47.47018818423618,18.142078,20.28786,16.755129,3.532732,,,NOT_AVAILABLE,,,,
65675139495283200,57.8810714778581,0.034585813542453256,23.315341351151496,0.01584154023252429,1.4277509008584954,0.03568316270983317,3.6631704071001554,-12.029818236645484,15.037073,15.538969,14.378738,1.1602306,,,NOT_AVAILABLE,4779.58,,0.9359259,0.41184768
65682629918370944,58.09863774896179,0.04593387546587077,23.41248066813464,0.019564245837795594,1.287155164149292,0.049651656752911444,-5.561116003935383,-16.13642180830549,15.386489,15.958704,14.673429,1.2852755,,,NOT_AVAILABLE,4895.2573,0.698,0.82965124,0.35611308
65656344718578048,58.096086827385214,0.08226985595217416,23.109083396786566,0.037093718936638966,0.9544723500498471,0.08945777070010233,-0.3485399282246606,-8.589881989445749,16.7687,17.308144,16.055756,1.252388,,,NOT_AVAILABLE,4890.0,0.091,0.5936606,0.18155432
65799654889437056,58.61050920324249,0.04162776831917209,23.789067799494735,0.01732994559854686,1.9210561774317534,0.04528390775767222,-3.4119155844958025,-16.120658797112654,14.917949,15.486353,14.184011,1.3023415,,,NOT_AVAILABLE,4866.94,0.3315,0.7003038,0.2479086
65665587488143616,58.31163750712892,0.051213303533796856,23.282499186491542,0.02052225929843129,0.744772095292261,0.055067147122440444,4.732878075601024,-4.192434204437498,15.415266,15.871776,14.790062,1.0817137,,,NOT_AVAILABLE,4959.6035,0.771,1.3679891,1.0201119
