JD,Magnitude,Uncertainty,HQuncertainty,Band,Observer Code,Comment Code(s),Comp Star 1,Comp Star 2,Charts,Comments,Transfomed,Airmass,Validation Flag,Cmag,Kmag,HJD,Star Name,Observer Affiliation,Measurement Method,Grouping Method,ADS Reference,Digitizer,Credit
2458988.62547,19.060,0.866,,V,DFS,,000-BMS-453,000-BMS-460,X23870CV,STANDARD MAG: C = 12.419  K = 12.641,0,1.094,Z,17.348,17.555,,V1655 CYG,VVS,STD,,,,
2458989.62593,<17.63,,,V,DFS,,000-BMS-453,000-BMS-460,X23870CV,STANDARD MAG: C = 12.419  K = 12.641,0,1.087,Z,17.487,17.676,,V1655 CYG,VVS,STD,,,,
2458990.62683,19.074,0.833,,V,DFS,,000-BMS-453,000-BMS-460,X23870CV,STANDARD MAG: C = 12.419  K = 12.641,0,1.079,Z,17.352,17.547,,V1655 CYG,VVS,STD,,,,
2458991.62572,18.930,0.830,,V,DFS,,000-BMS-453,000-BMS-460,X23870CV,STANDARD MAG: C = 12.419  K = 12.641,0,1.075,Z,17.268,17.480,,V1655 CYG,VVS,STD,,,,
2458992.62568,<18.13,,,V,DFS,,000-BMS-453,000-BMS-460,X23870CV,STANDARD MAG: C = 12.419  K = 12.641,0,1.070,Z,17.340,17.532,,V1655 CYG,VVS,STD,,,,
2458994.62559,<16.74,,,V,DFS,,000-BMS-453,000-BMS-460,X23870CV,STANDARD MAG: C = 12.419  K = 12.641,0,1.060,Z,17.594,17.762,,V1655 CYG,VVS,STD,,,,
2458995.49671,<17.76,,,V,DFS,,000-BMS-453,000-BMS-460,X23870CV,STANDARD MAG: C = 12.419  K = 12.641,0,1.681,Z,17.385,17.630,,V1655 CYG,VVS,STD,,,,
2458995.78557,15.354,0.271,,R,DDJ,,111,109,X25410ANW,AAVSONET-BSM_NM2,0,1.618,Z,-8.428,-8.673,,V1655 CYG,AAVSO,STD,,,,
2458996.51497,<18.23,,,V,DFS,,000-BMS-453,000-BMS-460,X23870CV,STANDARD MAG: C = 12.419  K = 12.641,0,1.495,Z,17.387,17.614,,V1655 CYG,VVS,STD,,,,
2458996.71397,19.618,0.675,,V,DDJ,,111,109,X25413MU,AVSONET-BSM_NH2B,1,1.333,Z,-8.179,-8.431,,V1655 CYG,AAVSO,STD,,,,
2458996.71780,17.092,0.279,,R,DDJ,,111,109,X25413MU,AVSONET-BSM_NH2B,1,1.314,Z,-8.157,-8.449,,V1655 CYG,AAVSO,STD,,,,
2458998.49851,<18.05,,,V,DFS,,000-BMS-453,000-BMS-460,X23870CV,STANDARD MAG: C = 12.419  K = 12.641,0,1.586,Z,17.390,17.621,,V1655 CYG,VVS,STD,,,,
2458999.50139,<18.16,,,V,DFS,,000-BMS-453,000-BMS-460,X23870CV,STANDARD MAG: C = 12.419  K = 12.641,0,1.538,Z,17.334,17.576,,V1655 CYG,VVS,STD,,,,
2459001.50355,<17.52,,,V,DFS,,000-BMS-453,000-BMS-460,X23870CV,STANDARD MAG: C = 12.419  K = 12.641,0,1.478,Z,17.663,17.907,,V1655 CYG,VVS,STD,,,,
2459006.50910,<17.79,,,V,DFS,,000-BMS-453,000-BMS-460,X23870CV,STANDARD MAG: C = 12.419  K = 12.641,0,1.353,Z,17.204,17.433,,V1655 CYG,VVS,STD,,,,
2459008.51332,<18.01,,,V,DFS,,000-BMS-453,000-BMS-460,X23870CV,STANDARD MAG: C = 12.419  K = 12.641,0,1.300,Z,17.164,17.401,,V1655 CYG,VVS,STD,,,,
2459013.62516,18.924,0.326,,V,DDJ,,116,111,X25465AG,AAVSONE-BSM_NH2,0,1.623,Z,-7.687,-8.196,,V1655 CYG,AAVSO,STD,,,,
2459014.50999,<16.47,,,V,DFS,,000-BMS-453,000-BMS-460,X23870CV,STANDARD MAG: C = 12.419  K = 12.641,0,1.239,Z,19.192,19.427,,V1655 CYG,VVS,STD,,,,
2459018.51192,<18.40,,,V,DFS,,000-BMS-453,000-BMS-460,X23870CV,STANDARD MAG: C = 12.419  K = 12.641,0,1.188,Z,17.159,17.401,,V1655 CYG,VVS,STD,,,,
2459024.74301,18.105,0.335,,V,DDJ,,126,111,X25494JA,AAVSONET-BSM_NH2,0,1.031,Z,-6.019,-7.566,,V1655 CYG,AAVSO,STD,,,,
2459025.51293,<18.38,,,V,DFS,,000-BMS-453,000-BMS-460,X23870CV,STANDARD MAG: C = 12.419  K = 12.641,0,1.124,Z,17.302,17.521,,V1655 CYG,VVS,STD,,,,
2459030.51356,19.080,0.760,,V,DFS,,000-BMS-453,000-BMS-460,X23870CV,STANDARD MAG: C = 12.419  K = 12.641,0,1.088,Z,17.170,17.411,,V1655 CYG,VVS,STD,,,,
2459040.52056,<18.17,,,V,DFS,,000-BMS-453,000-BMS-460,X23870CV,STANDARD MAG: C = 12.419  K = 12.641,0,1.029,Z,17.213,17.431,,V1655 CYG,VVS,STD,,,,
