Frequency (GHz)      Flux (Jy)
     42.4333852      0.0044980
     42.4336352     -0.0008878
     42.4338852     -0.0186116
     42.4341352      0.0302155
     42.4343852      0.0132448
     42.4346352      0.0200637
     42.4348852      0.0168569
     42.4351352      0.0290897
     42.4353852     -0.0082593
     42.4356352      0.0376466
     42.4358852      0.0102286
     42.4361352      0.0023934
     42.4363852      0.0012769
     42.4366352     -0.0103937
     42.4368852      0.0151881
     42.4371352     -0.0309090
     42.4373852     -0.0185835
     42.4376352      0.0105173
     42.4378852     -0.0467517
     42.4381352      0.0516176
     42.4383852      0.0301978
     42.4386352      0.0087533
     42.4388852      0.0244658
     42.4391352      0.0045255
     42.4393852      0.0048720
     42.4396352     -0.0120169
     42.4398852      0.0190962
     42.4401352      0.0081325
     42.4403852      0.0196704
     42.4406352      0.0030646
     42.4408852     -0.0108616
     42.4411352      0.0058091
     42.4413852      0.0050728
     42.4416352      0.0027700
     42.4418852     -0.0325249
     42.4421352     -0.0236338
     42.4423852     -0.0163603
     42.4426352      0.0086526
     42.4428852     -0.0214954
     42.4431352     -0.0133647
     42.4433852     -0.0045857
     42.4436352     -0.0063663
     42.4438852     -0.0036898
     42.4441352     -0.0169975
     42.4443852      0.0156800
     42.4446352     -0.0135031
     42.4448852     -0.0467547
     42.4451352     -0.0322428
     42.4453852     -0.0223596
     42.4456352     -0.0216947
     42.4458852      0.0384667
     42.4461352     -0.0122443
     42.4463852      0.0140414
     42.4466352      0.0038871
     42.4468852      0.0267557
     42.4471352      0.0052083
     42.4473852     -0.0207841
     42.4476352      0.0048575
     42.4478852     -0.0012679
     42.4481352      0.0028561
     42.4483852     -0.0052458
     42.4486352     -0.0017091
     42.4488852      0.0119056
     42.4491352      0.0278648
     42.4493852      0.0372775
     42.4496352     -0.0035403
     42.4498852     -0.0292006
     42.4501352      0.0236422
     42.4503852      0.0159918
     42.4506352      0.0079360
     42.4508852      0.0085318
     42.4511352      0.0076988
     42.4513852     -0.0059238
     42.4516352     -0.0149811
     42.4518852      0.0370724
     42.4521352     -0.0217111
     42.4523852      0.0201541
     42.4526352      0.0529442
     42.4528852      0.0129421
     42.4531352      0.0069488
     42.4533852     -0.0065321
     42.4536352      0.0188992
     42.4538852      0.0205897
     42.4541352      0.0099994
     42.4543852      0.0445374
     42.4546352      0.0315727
     42.4548852      0.0028925
     42.4551352      0.0091151
     42.4553852     -0.0321997
     42.4556352     -0.0197260
     42.4558852     -0.0029219
     42.4561352      0.0315071
     42.4563852      0.0138849
     42.4566352     -0.0000460
     42.4568852      0.0485816
     42.4571352      0.0234248
