tphys,kstar_1,mass_1,lum_1,deltam_1,RRLO_1,kstar_2,mass_2,lum_2,deltam_2,RRLO_2,porb,sep,bin_state,merger_type,bin_num
8.768336468614589,14.0,16.467463611882515,1e-10,0.0,9.999999999999999e-05,1.0,9.777375092360712,6967.066769761136,-1.3682802761774818e-11,9.999999999999999e-05,-1.0,-1.0,2,-001,1002330
8.778336468614588,14.0,16.467463611882515,1e-10,0.0,9.999999999999999e-05,1.0,9.7773749554438,6969.288550540157,-1.3691691242958887e-11,0.0001,-1.0,-1.0,2,-001,1002330
8.788336468614588,14.0,16.467463611882515,1e-10,0.0,9.999999999999999e-05,1.0,9.777374818437906,6971.512111166398,-1.3700589392705764e-11,9.999999999999999e-05,-1.0,-1.0,2,-001,1002330
8.798336468614588,14.0,16.467463611882515,1e-10,0.0,9.999999999999999e-05,1.0,9.777374681342934,6973.737452890925,-1.3709497219395737e-11,0.0001,-1.0,-1.0,2,-001,1002330
8.808336468614588,14.0,16.467463611882515,1e-10,0.0,9.999999999999999e-05,1.0,9.777374544158787,6975.9645769660265,-1.371841473141561e-11,0.0001,-1.0,-1.0,2,-001,1002330
8.818336468614588,14.0,16.467463611882515,1e-10,0.0,9.999999999999999e-05,1.0,9.777374406885368,6978.193484645194,-1.3727341937158927e-11,9.999999999999999e-05,-1.0,-1.0,2,-001,1002330
8.828336468614587,14.0,16.467463611882515,1e-10,0.0,9.999999999999999e-05,1.0,9.77737426952258,6980.424177183158,-1.3736278845025523e-11,0.0001,-1.0,-1.0,2,-001,1002330
8.838336468614587,14.0,16.467463611882515,1e-10,0.0,9.999999999999999e-05,1.0,9.777374132070326,6982.656655835865,-1.3745225463421853e-11,0.0001,-1.0,-1.0,2,-001,1002330
8.848336468614587,14.0,16.467463611882515,1e-10,0.0,9.999999999999999e-05,1.0,9.777373994528508,6984.890921860486,-1.3754181800760938e-11,0.0001,-1.0,-1.0,2,-001,1002330
8.858336468614587,14.0,16.467463611882515,1e-10,0.0,9.999999999999999e-05,1.0,9.77737385689703,6987.126976515423,-1.3763147865462078e-11,0.0001,-1.0,-1.0,2,-001,1002330
8.868336468614586,14.0,16.467463611882515,1e-10,0.0,9.999999999999999e-05,1.0,9.777373719175793,6989.364821060294,-1.3772123665951413e-11,0.0001,-1.0,-1.0,2,-001,1002330
8.878336468614586,14.0,16.467463611882515,1e-10,0.0,9.999999999999999e-05,1.0,9.777373581364701,6991.604456755962,-1.3781109210661249e-11,0.0001,-1.0,-1.0,2,-001,1002330
