,Designation,Abs Mag,Slope Param,Epoch,Mean anom (deg),Argument of Perihelion (deg),Longitude of Ascending Node (deg),Inclination to Ecliptic (deg),Eccentricity,Mean daily motion (deg/day),Semimajor Axis (AU),Reference,N observation,N oppositions,Readable Designation,Date of last observation
1709,K22G03J,20.97,0.15,K232P,146.64512,155.56736,35.8986,12.25519,0.3875563,0.45613715,1.6713693,MPO733859,302,4,2022 GJ3,2022-07-05
1710,K22G05N,18.63,0.15,K232P,9.91914,136.72012,208.514,31.58052,0.4046675,0.49587413,1.5808418,E2022-K39,74,5,2022 GN5,2022-05-19
1711,K22H00B,21.93,0.15,K232P,340.09523,61.72866,42.28145,6.42565,0.381402,0.89745447,1.0644561,MPO733859,369,3,2022 HB,2022-05-10
1712,K22H02T,20.97,0.15,K232P,87.89128,20.59407,298.3101,1.60816,0.577455,0.39238794,1.847817,E2022-KD6,84,1,2022 HT2,2022-05-28
1713,K22H03C,20.68,0.15,K232P,39.54474,98.14009,216.17151,5.63503,0.7630687,0.19685018,2.9267042,MPO733859,84,4,2022 HC3,2022-11-26
1714,K22H05G,21.17,0.15,K232P,41.35821,154.93915,152.79889,12.19613,0.6774414,0.19888648,2.9066933,MPO725063,79,1,2022 HG5,2022-10-31
1715,K22J02A,19.38,0.15,K232P,139.56334,328.34827,189.77464,26.24751,0.5009818,0.36651273,1.9337931,MPO714645,84,4,2022 JA2,2022-07-21
1716,K22J02Q,21.67,0.15,K232P,90.82365,29.46108,273.46778,5.57583,0.3957844,0.4421179,1.7065171,MPO725063,63,3,2022 JQ2,2022-09-28
1717,K22K04A,19.2,0.15,K232P,27.81978,248.10333,110.57003,10.30035,0.6374244,0.2837928,2.2933401,MPO733860,48,4,2022 KA4,2022-12-17
1718,K22K04M,20.95,0.15,K232P,71.20107,73.24933,297.1576,5.36536,0.781695,0.33011787,2.0734331,MPO706482,41,1,2022 KM4,2022-06-08
1719,K22K05P,21.52,0.15,K232P,89.27322,292.83031,75.78065,14.87225,0.7409874,0.44588633,1.6968884,MPO706488,94,1,2022 KP5,2022-06-16
1720,K22L01B,21.87,0.15,K232P,49.74485,200.72679,86.06601,23.88295,0.625123,0.21874333,2.7280113,MPO706551,49,1,2022 LB1,2022-06-22
1721,K22L01X,19.99,0.15,K232P,48.74656,211.61811,111.13194,2.10461,0.6255325,0.2365589,2.5892651,MPO733860,215,1,2022 LX1,2022-12-14
1722,K22M00N,21.54,0.15,K232P,57.24277,257.66069,103.95305,5.59309,0.6339429,0.30994821,2.1624362,MPO706570,36,1,2022 MN,2022-07-06
1723,K22M04E,21.74,0.15,K232P,60.94591,167.60596,132.65115,13.52117,0.560933,0.26460489,2.4029098,MPO725067,44,1,2022 ME4,2022-10-02
1724,K22M05K,21.34,0.15,K232P,64.41072,359.4449,325.39095,10.8199,0.5306425,0.29907738,2.2145237,MPO710114,18,1,2022 MK5,2022-07-25
1725,K22N01H,20.95,0.15,K232P,106.56733,266.05736,148.33143,22.55013,0.4043685,0.73971893,1.2108534,MPO714650,27,1,2022 NH1,2022-08-02
1726,K22O00H,20.72,0.15,K232P,35.04767,128.50875,257.32759,0.63819,0.6279311,0.23999483,2.5644927,E2023-BI1,179,1,2022 OH,2023-01-28
1727,K22O00L,21.63,0.15,K232P,91.66415,239.03592,329.9108,6.64147,0.6762662,0.33250225,2.0635088,MPO710167,63,1,2022 OL,2022-08-29
1728,K22O02E,21.01,0.15,K232P,42.44422,330.22076,107.49844,4.66658,0.8992049,0.25749393,2.4469479,MPO725071,70,1,2022 OE2,2022-08-03
1729,K22O02Q,21.64,0.15,K232P,27.53086,325.86982,60.64244,9.20564,0.6930552,0.20898501,2.8122847,MPO733862,41,1,2022 OQ2,2023-01-25
1730,K22O02T,21.85,0.15,K232P,64.36334,322.50461,70.10356,7.01236,0.5147302,0.43351057,1.7290316,MPO733862,22,1,2022 OT2,2023-01-21
1731,K22O04Y,21.66,0.15,K232P,130.7953,291.69025,275.98183,6.89868,0.5706606,0.4413819,1.7084137,MPO710185,36,1,2022 OY4,2022-08-24
1732,K22Q05Z,20.47,0.15,K232P,39.51063,69.84894,37.4455,10.71761,0.6937011,0.40346871,1.8138282,MPO725086,57,1,2022 QZ5,2022-09-29
1733,K22Q41G,21.87,0.15,K232P,34.20482,11.21782,37.80583,8.65261,0.535793,0.33303692,2.0612997,MPO733869,29,1,2022 QG41,2023-01-13
