Frequency (GHz)      Flux (Jy)
     42.4116352      0.0296227
     42.4118852      0.0414468
     42.4121352     -0.0184164
     42.4123852     -0.0583598
     42.4126352      0.0191087
     42.4128852     -0.0680473
     42.4131352     -0.0168610
     42.4133852      0.0040763
     42.4136352     -0.0031428
     42.4138852      0.0464376
     42.4141352     -0.0565598
     42.4143852      0.0311376
     42.4146352      0.0239220
     42.4148852     -0.0389645
     42.4151352      0.0305311
     42.4153852      0.0085417
     42.4156352     -0.0122050
     42.4158852     -0.0194073
     42.4161352     -0.0484767
     42.4163852      0.0131731
     42.4166352     -0.0480904
     42.4168852     -0.0071506
     42.4171352      0.0105436
     42.4173852      0.0408582
     42.4176352      0.0216132
     42.4178852     -0.0334730
     42.4181352      0.0042874
     42.4183852     -0.0248591
     42.4186352     -0.0435627
     42.4188852      0.0114253
     42.4191352     -0.0552579
     42.4193852     -0.0254667
     42.4196352      0.0043360
     42.4198852      0.0170813
     42.4201352      0.0260218
     42.4203852     -0.0224948
     42.4206352      0.0024709
     42.4208852     -0.0072428
     42.4211352     -0.0258995
     42.4213852      0.0009729
     42.4216352     -0.0394279
     42.4218852     -0.0264719
     42.4221352      0.0294723
     42.4223852     -0.0503802
     42.4226352      0.0283976
     42.4228852      0.0086673
     42.4231352      0.0217072
     42.4233852     -0.0409802
     42.4236352      0.0078821
     42.4238852      0.0156263
     42.4241352     -0.0042714
     42.4243852      0.0959587
     42.4246352     -0.0079092
     42.4248852      0.0222868
     42.4251352     -0.0223515
     42.4253852      0.0037310
     42.4256352     -0.0179681
     42.4258852     -0.0301625
     42.4261352     -0.0544972
     42.4263852     -0.0281353
     42.4266352     -0.0102880
     42.4268852     -0.0448192
     42.4271352     -0.0114266
     42.4273852      0.0077498
     42.4276352      0.0537090
     42.4278852     -0.0607569
     42.4281352     -0.0368835
     42.4283852      0.0280161
     42.4286352     -0.0145945
     42.4288852     -0.0021211
     42.4291352     -0.0064325
     42.4293852      0.0055591
     42.4296352      0.0078904
     42.4298852      0.0129637
     42.4301352      0.0504238
     42.4303852     -0.0304864
     42.4306352     -0.0640598
     42.4308852      0.0706040
     42.4311352      0.0309753
     42.4313852     -0.0089761
     42.4316352     -0.0499437
     42.4318852      0.0177511
     42.4321352     -0.0245155
     42.4323852     -0.0028614
     42.4326352      0.0417318
     42.4328852     -0.0062110
     42.4331352     -0.0301385
     42.4333852      0.0159122
     42.4336352     -0.0206320
     42.4338852     -0.0221678
     42.4341352      0.0480330
     42.4343852      0.0057405
     42.4346352      0.0375547
     42.4348852     -0.0093020
     42.4351352      0.0194690
     42.4353852     -0.0796475
     42.4356352     -0.0535434
     42.4358852      0.0643934
     42.4361352      0.0191039
     42.4363852     -0.0577513
     42.4366352     -0.0189685
     42.4368852      0.0440949
     42.4371352     -0.0119769
     42.4373852     -0.0285851
     42.4376352     -0.0292257
     42.4378852      0.0024425
     42.4381352     -0.0370813
     42.4383852      0.0542818
     42.4386352     -0.0080935
     42.4388852     -0.0275286
     42.4391352      0.0458735
     42.4393852      0.0166580
     42.4396352     -0.0429983
     42.4398852      0.0164137
     42.4401352      0.0291719
     42.4403852     -0.0491243
     42.4406352      0.0102297
     42.4408852     -0.0415037
     42.4411352     -0.0000611
     42.4413852     -0.0036077
     42.4416352      0.0241625
     42.4418852     -0.0055224
     42.4421352      0.0469401
     42.4423852     -0.0080651
     42.4426352     -0.0166050
     42.4428852     -0.0240004
     42.4431352     -0.0285072
     42.4433852     -0.0296230
     42.4436352      0.0418922
     42.4438852      0.0051195
     42.4441352      0.0216397
     42.4443852     -0.0098543
     42.4446352      0.0421232
     42.4448852     -0.0232272
     42.4451352      0.0247071
     42.4453852      0.0050326
     42.4456352      0.0083773
     42.4458852      0.0226754
     42.4461352      0.0173038
     42.4463852     -0.0140935
     42.4466352     -0.0103332
     42.4468852     -0.0015556
     42.4471352      0.0667842
     42.4473852      0.0004826
     42.4476352      0.0008100
     42.4478852      0.0282091
     42.4481352     -0.0220426
     42.4483852     -0.0594611
     42.4486352     -0.0179290
     42.4488852      0.0390816
     42.4491352      0.0384186
     42.4493852     -0.0015439
     42.4496352     -0.0396850
     42.4498852      0.0094783
     42.4501352      0.0014515
     42.4503852     -0.0177986
     42.4506352     -0.0190166
     42.4508852      0.0115992
     42.4511352      0.0300360
     42.4513852     -0.0096769
     42.4516352     -0.0144526
     42.4518852     -0.0086571
     42.4521352      0.0096466
     42.4523852     -0.0009928
     42.4526352      0.0010724
     42.4528852     -0.0062961
     42.4531352     -0.0213088
     42.4533852      0.0030947
     42.4536352     -0.0007807
     42.4538852      0.0088824
     42.4541352      0.0423778
     42.4543852     -0.0063467
     42.4546352      0.0089403
     42.4548852      0.0054418
     42.4551352      0.0248457
     42.4553852      0.0174364
     42.4556352     -0.0175410
     42.4558852      0.0014183
     42.4561352      0.0074806
     42.4563852      0.0226277
     42.4566352      0.0505081
     42.4568852     -0.0266518
     42.4571352     -0.0024963
     42.4573852     -0.0041568
     42.4576352     -0.0193014
     42.4578852     -0.0105591
     42.4581352     -0.0190294
     42.4583852      0.0224349
     42.4586352     -0.0310296
     42.4588852      0.0495154
     42.4591352     -0.0307163
     42.4593852     -0.0128140
     42.4596352      0.0177700
     42.4598852     -0.0373796
     42.4601352     -0.0219536
     42.4603852      0.0169423
     42.4606352      0.0027717
     42.4608852     -0.0051900
     42.4611352     -0.0212882
     42.4613852      0.0766270
     42.4616352     -0.0534735
     42.4618852     -0.0055801
     42.4621352      0.0067398
     42.4623852     -0.0364185
     42.4626352     -0.0411384
     42.4628852     -0.0185508
     42.4631352      0.0668854
     42.4633852      0.0295299
     42.4636352     -0.0163332
     42.4638852      0.0175142
     42.4641352      0.0444304
     42.4643852      0.0039176
     42.4646352     -0.0280828
     42.4648852      0.0306014
     42.4651352      0.0334439
     42.4653852      0.0284042
     42.4656352      0.0368339
     42.4658852      0.0126555
     42.4661352     -0.0191302
     42.4663852      0.0145088
     42.4666352      0.0195318
     42.4668852      0.0082239
     42.4671352      0.0348302
     42.4673852      0.0248061
     42.4676352     -0.0477172
     42.4678852     -0.0341418
     42.4681352     -0.0883401
     42.4683852     -0.0284244
     42.4686352      0.0264971
     42.4688852      0.0184616
     42.4691352     -0.0231536
     42.4693852     -0.0151975
     42.4696352     -0.0440637
     42.4698852     -0.0062164
     42.4701352     -0.0302133
     42.4703852      0.0225007
     42.4706352      0.0193549
     42.4708852     -0.0077396
     42.4711352      0.0128882
     42.4713852      0.0284562
     42.4716352     -0.0211896
     42.4718852      0.0304055
     42.4721352     -0.0526328
     42.4723852      0.0200486
     42.4726352     -0.0005900
     42.4728852     -0.0185733
     42.4731352      0.0495824
     42.4733852     -0.0209678
     42.4736352      0.0268655
     42.4738852     -0.0118531
     42.4741352     -0.0154046
     42.4743852      0.0145603
     42.4746352      0.0406869
     42.4748852      0.0234120
     42.4751352     -0.0322422
     42.4753852     -0.0210645
     42.4756352      0.0258668
     42.4758852     -0.0359607
     42.4761352      0.0440450
     42.4763852     -0.0483513
     42.4766352     -0.0065731
     42.4768852     -0.0220699
     42.4771352      0.0085077
     42.4773852     -0.0017929
     42.4776352      0.0040941
     42.4778852     -0.0401926
     42.4781352     -0.0136196
     42.4783852      0.0091927
     42.4786352     -0.0151409
     42.4788852     -0.0424692
     42.4791352      0.0098655
     42.4793852     -0.0227112
