GRBname T90
GRB150101B 0.01199996
GRB150101A 0.05999994
GRB141229A 6.4
GRB141225A 86.148
GRB141221A 36.816
GRB141220A 7.232
GRB141212B 10.508
GRB141212A 0.288
GRB141205A 1.664
GRB141130A 62.856
GRB141121A 481.004
GRB141109B 220.504
GRB141109A 200.188
GRB141102A 14.4
GRB141031B 15.624
GRB141031A 464.0
GRB141026A 139.476
GRB141022A 8.716
GRB141020A 14.896
GRB141017A 55.808
GRB141015A 11.0
GRB141005A 3.472
GRB141004A 3.924
GRB140930B 0.8439999
GRB140927A 6.256
GRB140919A 152.304
GRB140916A 68.976
GRB140907A 80.0
GRB140903A 0.2959999
GRB140901B 6.4
GRB140828A 19.148
GRB140824A 3.084
GRB140818B 31.552
GRB140817A 258.344
GRB140730A 40.896
GRB140719B 54.0
GRB140719A 48.0
GRB140716A-2 124.8
GRB140716A-1 124.8
GRB140713A 6.016
GRB140710A 3.0
GRB140709B 156.732
GRB140709A 105.192
GRB140706A 47.844
GRB140703A 68.644
GRB140629A 38.272
GRB140628A 10.54
GRB140626A 16.16
GRB140622A 0.132
GRB140619A 233.048
GRB140614B 49.872
GRB140614A 77.392
GRB140611A 3.2
GRB140610A 93.252
GRB140607A 94.768
GRB140606A 0.34
GRB140529A 8.144
GRB140521A 9.876
GRB140518A 60.524
GRB140516A 0.256
GRB140515A 23.416
GRB140512A 154.112
GRB140509A 23.216
GRB140506A 111.104
GRB140502A 15.12
GRB140430A 173.588
GRB140428A 17.424
GRB140423A 134.144
GRB140419A 80.076
GRB140414A 0.4959999
GRB140413A 132.976
GRB140412A 48.0
GRB140408A 3.628
GRB140402A 0.896
GRB140331A 209.656
GRB140323A 106.488
GRB140320A 0.512
GRB140318A 7.604
GRB140311B 129.6
GRB140311A 70.48
GRB140305A 20.304
GRB140304A 14.784
GRB140302A 98.724
GRB140301A 27.804
GRB140215A 25.632
GRB140213A 59.932
GRB140211A 109.532
GRB140209A 20.432
GRB140206A 94.188
GRB140129B 1.36
GRB140129A 3.0
GRB140118A 84.092
GRB140114A 139.948
GRB140108A 95.232
GRB140103A 17.344
GRB140102A 55.08
GRB131229A 48.0
GRB131227A 17.988
GRB131226A 7.228
GRB131224B 8.348
GRB131205A 20.344
GRB131202A 30.196
GRB131128A 3.0
GRB131127A 94.972
GRB131120A 130.432
GRB131117A 10.88
GRB131110A 76.8
GRB131105A 112.208
GRB131103A 15.208
GRB131031A 6.4
GRB131030A 39.424
GRB131024B 96.816
GRB131024A 112.0
GRB131018A 73.216
GRB131004A 1.536
GRB131002B 52.0
GRB131002A 56.528
GRB131001A 5.0
GRB130929A 12.24
GRB130925A 160.296
GRB130919A 99.684
GRB130913A 41.6
GRB130912A 0.2839999
GRB130907A 364.368
GRB130831B 37.584
GRB130831A 30.192
GRB130829A 51.884
GRB130822A 0.04399997
GRB130816B 8.676
GRB130816A 29.976
GRB130812A 7.628
GRB130807A 293.04
GRB130806A 5.78
GRB130803A 43.572
GRB130727A 13.564
GRB130725B 4.776
GRB130725A 101.52
GRB130722A 98.368
GRB130719A 146.968
GRB130716A 87.672
GRB130708A 11.2
GRB130701A 4.38
GRB130627B 48.0
GRB130627A 18.048
GRB130626A 0.16
GRB130625A 41.272
GRB130623A 17.616
GRB130615A 332.556
GRB130612A 4.0
GRB130610A 47.724
GRB130609B 211.172
GRB130609A 7.056
GRB130608A 151.852
GRB130606A 276.656
GRB130605A 10.176
GRB130604A 76.284
GRB130603B 0.176
GRB130603A 69.128
GRB130529A 87.592
GRB130528A 640.0
GRB130527A 64.0
GRB130521A 10.956
GRB130518B 8.0
GRB130518A 81.6
GRB130515A 0.2959999
GRB130514A 214.192
GRB130511A 2.74
GRB130508A 42.912
GRB130505A 89.344
GRB130504A 120.032
GRB130502A 7.568
GRB130427B 25.904
GRB130427A 244.332
GRB130420B 12.636
GRB130420A 121.136
GRB130419A 85.584
GRB130418A 274.924
